user_id,age,steps_per_day,active_minutes,sleep_hours,calories_burned,activity_segment
113,36.0,6631.0,67.0,6.66,2035.7,moderately active
114,60.0,9508.0,89.1,7.86,2448.5,moderately active
115,33.0,7013.0,81.2,6.38,2206.1,moderately active
116,38.0,10158.0,96.6,7.58,2523.2,highly active
117,35.0,8509.0,80.9,7.8,2245.7,Moderately Active
118,23.0,9446.0,86.8,8.39,2260.8,Moderately Active
119,46.0,5722.0,64.4,6.78,2086.2,Lightly Active
120,43.0,5536.0,61.8,5.97,2156.4,Lightly Active
121,43.0,10836.0,98.1,6.34,2494.8,highly active
122,26.0,7762.0,65.4,8.26,2113.5,Moderate
123,49.0,8855.0,76.6,9.49,2520.8,moderately active
124,21.0,7081.0,67.5,8.12,2172.1,moderately active
125,41.0,10696.0,109.9,5.81,2249.6,HIGHLY ACTIVE
126,57.0,6177.0,59.5,8.08,2227.7,moderately active
127,25.0,7593.0,68.5,6.16,2214.5,Moderately Active
128,29.0,10358.0,82.2,6.82,2374.6,HIGHLY ACTIVE
129,36.0,11519.0,118.1,7.41,2567.9,highly active
130,30.0,6429.0,68.1,7.59,2139.6,moderately active
131,19.0,13879.0,132.0,7.27,2952.9,highly active
132,36.0,8940.0,92.2,6.54,2426.8,moderately active
133,24.0,4871.0,49.3,8.37,2047.6,Lightly Active
134,40.0,9107.0,86.6,6.62,2324.6,moderately active
135,26.0,6851.0,79.0,8.58,2431.7,Moderate
136,50.0,9302.0,89.0,5.7,2475.6,Moderately Active
137,27.0,7871.0,80.3,7.44,2394.1,moderately active
138,32.0,8223.0,85.5,5.85,2345.4,Moderately Active
139,43.0,5265.0,59.0,6.28,2193.0,light activity
140,23.0,10970.0,100.4,6.64,2542.4,highly active
141,37.0,4532.0,47.5,8.87,1949.3,LIGHT
142,48.0,4674.0,55.2,8.64,2075.3,Lightly Active
143,19.0,9102.0,92.1,8.16,2629.5,Highly Active
144,37.0,12809.0,126.1,7.24,2705.2,highly active
145,38.0,6942.0,72.3,7.41,2353.9,Moderate
146,43.0,10103.0,99.0,8.59,2593.5,HIGHLY ACTIVE
147,23.0,11220.0,99.9,7.97,2572.2,Highly Active
148,22.0,10444.0,92.4,7.22,2638.3,Highly Active
149,40.0,7066.0,75.1,8.84,,Moderate
150,38.0,4727.0,44.8,8.1,1771.5,Lightly Active
151,38.0,1377.0,21.3,7.47,1954.6,LIGHT
152,38.0,7211.0,81.1,6.7,2171.3,Moderately Active
153,28.0,11534.0,115.9,6.6,2596.0,HIGHLY ACTIVE
154,37.0,4628.0,51.0,6.83,2222.2,Lightly Active
155,38.0,10101.0,91.8,7.7,2445.7,highly active
156,28.0,5150.0,51.9,8.12,2242.2,light activity
157,54.0,8318.0,86.3,5.61,2272.8,Moderately Active
158,40.0,10123.0,94.1,5.06,2505.7,highly active
159,23.0,6022.0,55.7,6.15,2100.8,moderately active
160,42.0,8511.0,90.7,6.75,2524.5,Moderate
161,25.0,6755.0,67.7,8.52,2143.5,Moderate
162,43.0,10115.0,89.7,6.89,2298.2,highly active
163,47.0,8706.0,86.4,7.48,2281.2,moderately active
164,27.0,8170.0,85.8,7.66,2260.2,moderately active
165,45.0,12675.0,107.6,6.07,2523.0,highly active
166,39.0,9987.0,91.6,8.81,2333.2,Moderate
167,43.0,5929.0,57.4,6.47,2231.1,Lightly Active
168,54.0,7742.0,78.1,8.92,2429.9,Moderately Active
169,33.0,7772.0,79.8,7.06,2316.1,moderately active
170,27.0,8241.0,74.3,6.83,2190.2,Moderately Active
171,26.0,15574.0,127.8,5.98,2742.1,Highly Active
172,27.0,9113.0,94.2,7.42,2138.1,Moderately Active
173,34.0,1892.0,16.8,9.68,1798.0,LIGHT
174,38.0,6372.0,65.3,7.65,,Moderate
175,38.0,2203.0,,7.5,1984.9,LIGHT
176,43.0,7011.0,69.7,6.47,2029.0,moderately active
177,35.0,2038.0,40.2,7.85,1781.4,LIGHT
178,50.0,5385.0,79.2,7.37,2147.6,Lightly Active
179,32.0,3438.0,25.6,7.13,1912.9,LIGHT
180,62.0,9152.0,94.1,7.74,2604.8,highly active
181,41.0,8002.0,75.4,5.2,2097.3,Moderate
182,26.0,8909.0,92.6,7.09,2335.2,Moderately Active
183,24.0,7686.0,81.7,5.88,2101.3,moderately active
184,40.0,3817.0,53.1,7.23,2078.9,LIGHT
185,33.0,9541.0,91.8,6.4,2318.8,moderately active
186,42.0,13767.0,117.6,6.48,,highly active
187,40.0,9228.0,94.3,5.73,2371.8,Moderately Active
188,34.0,6722.0,67.0,8.43,2184.3,moderately active
189,27.0,3716.0,39.1,6.45,1904.8,Lightly Active
190,20.0,,50.2,6.51,1921.4,Lightly Active
191,31.0,9359.0,96.0,8.88,2415.5,Moderate
192,44.0,11219.0,116.3,7.82,2474.8,highly active
193,37.0,8783.0,73.6,4.96,2387.5,moderately active
194,23.0,10400.0,101.6,8.72,2481.4,highly active
195,37.0,10123.0,91.4,9.01,2296.3,HIGHLY ACTIVE
196,39.0,9520.0,77.6,8.91,2627.6,Highly Active
197,26.0,6025.0,61.4,7.94,2315.7,moderately active
198,37.0,8522.0,74.3,5.99,2574.1,Moderately Active
199,36.0,5455.0,42.8,7.15,1975.7,light activity
200,24.0,8052.0,70.8,5.61,2145.5,Moderate
201,39.0,8993.0,76.7,6.25,2408.3,moderately active
202,,13036.0,113.5,5.98,2773.5,HIGHLY ACTIVE
203,46.0,4071.0,33.3,6.51,1940.1,light activity
204,46.0,9445.0,85.5,7.38,2114.7,Moderate
205,21.0,12444.0,108.0,6.71,2474.2,highly active
206,26.0,10277.0,98.6,6.66,2507.7,Highly Active
207,40.0,10499.0,102.2,6.88,2402.2,HIGHLY ACTIVE
208,40.0,9763.0,93.4,8.85,2249.3,Moderate
209,40.0,11895.0,107.2,9.58,2533.3,Highly Active
210,74.0,4738.0,47.4,6.7,1613.1,LIGHT
211,41.0,3842.0,35.3,7.57,1841.8,Lightly Active
212,46.0,7981.0,70.0,6.27,2188.0,Moderate
213,45.0,1517.0,28.3,8.04,1818.6,LIGHT
214,42.0,11692.0,93.4,6.68,2565.3,highly active
215,32.0,11662.0,106.5,6.42,2596.3,HIGHLY ACTIVE
216,43.0,6700.0,63.2,9.4,2262.1,Moderately Active
217,27.0,6888.0,72.2,5.71,2178.6,Moderately Active
218,33.0,7783.0,63.5,4.5,2029.4,Moderately Active
219,30.0,8156.0,78.1,8.01,2284.6,moderately active
220,36.0,8382.0,82.6,6.8,2202.5,Moderate
221,58.0,9675.0,75.4,6.49,2174.1,Moderately Active
222,18.0,7482.0,63.8,10.0,2261.2,moderately active
223,42.0,10830.0,99.5,8.0,2315.8,HIGHLY ACTIVE
224,19.0,9338.0,91.9,7.14,2469.5,Moderately Active
225,30.0,6179.0,63.0,6.42,1974.8,Moderate
226,46.0,12005.0,114.5,7.69,2563.5,Highly Active
227,36.0,3925.0,34.1,5.29,1845.3,LIGHT
228,24.0,7724.0,61.7,6.63,2330.6,moderately active
229,28.0,10901.0,101.5,7.16,2567.9,highly active
230,42.0,5831.0,48.8,7.43,1958.5,Lightly Active
231,28.0,8929.0,77.5,7.04,2292.8,moderately active
232,37.0,9630.0,97.7,6.44,2583.7,Moderate
233,35.0,5418.0,56.7,8.21,2249.7,Lightly Active
234,28.0,7783.0,70.3,5.38,2067.2,Moderate
235,56.0,7530.0,67.2,6.89,2365.5,moderately active
236,41.0,6345.0,67.8,6.63,2305.6,Moderate
237,18.0,14905.0,135.9,8.31,2835.8,highly active
238,37.0,5711.0,47.9,6.7,2037.6,light activity
239,28.0,11015.0,86.2,7.68,2374.4,Highly Active
240,44.0,6822.0,81.9,7.57,2084.2,moderately active
241,27.0,4740.0,39.7,5.18,2012.9,Lightly Active
242,34.0,8308.0,83.5,7.13,2287.3,moderately active
243,40.0,9947.0,105.0,5.28,2519.7,Moderately Active
244,44.0,10762.0,100.9,7.59,2542.8,highly active
245,23.0,12687.0,110.9,6.4,2916.7,highly active
246,32.0,16836.0,138.9,8.51,3056.8,Highly Active
247,30.0,8752.0,71.4,7.0,2345.1,Moderate
248,28.0,6011.0,63.1,6.35,1866.5,moderately active
249,53.0,9359.0,99.6,8.52,2466.6,Moderate
250,39.0,7201.0,66.8,6.24,,Moderately Active
251,22.0,10778.0,95.4,8.18,2415.3,Highly Active
252,44.0,4109.0,49.8,7.71,2247.0,light activity
253,56.0,15105.0,130.4,6.8,2866.5,Highly Active
254,45.0,10568.0,100.3,5.73,2512.0,Highly Active
255,20.0,2948.0,34.9,8.57,1753.4,light activity
256,30.0,5873.0,55.7,7.75,2267.4,Lightly Active
257,48.0,10448.0,96.9,6.35,2358.3,HIGHLY ACTIVE
258,28.0,11529.0,120.2,7.47,2531.8,Highly Active
259,39.0,4183.0,49.7,8.31,1761.3,Lightly Active
260,43.0,10139.0,103.2,7.32,2576.7,highly active
261,26.0,2158.0,20.6,7.46,1850.2,LIGHT
262,34.0,7732.0,83.2,8.34,2282.0,Moderately Active
263,18.0,11336.0,109.6,8.89,2637.3,Highly Active
264,25.0,6345.0,50.9,7.07,2166.6,Moderate
265,32.0,3479.0,43.3,5.73,1886.0,LIGHT
266,23.0,8439.0,76.2,5.77,2190.4,moderately active
267,51.0,6186.0,49.2,6.44,1869.3,moderately active
268,21.0,9889.0,93.4,6.17,2397.4,moderately active
269,31.0,5344.0,58.8,5.35,1918.9,light activity
270,36.0,5682.0,58.6,9.23,2109.5,light activity
271,49.0,1937.0,25.3,7.78,1769.0,Lightly Active
272,21.0,8510.0,78.3,6.62,2247.8,Moderately Active
273,47.0,7517.0,92.4,7.16,2433.4,Moderately Active
274,35.0,4435.0,37.5,5.23,1831.2,LIGHT
275,25.0,8581.0,88.5,8.47,2118.4,moderately active
276,40.0,11081.0,102.5,5.06,2481.5,highly active
277,37.0,7353.0,64.4,7.76,2099.9,moderately active
278,29.0,8805.0,83.0,5.18,2342.7,Moderate
279,36.0,8820.0,72.4,6.74,2176.7,Moderately Active
280,31.0,4387.0,41.8,8.57,2015.1,Lightly Active
281,36.0,14170.0,127.7,5.4,2631.7,Highly Active
282,42.0,6587.0,52.5,7.04,1988.3,moderately active
283,51.0,9968.0,97.1,7.89,2511.0,Moderate
284,23.0,10308.0,88.2,7.71,2411.0,highly active
285,56.0,7581.0,61.6,7.28,2045.0,moderately active
286,18.0,9820.0,83.2,7.75,2260.5,Moderate
287,33.0,8737.0,100.2,6.53,2349.3,Moderately Active
288,41.0,3747.0,25.4,9.33,1733.1,light activity
289,38.0,7003.0,71.8,5.43,2168.0,moderately active
290,29.0,6162.0,55.3,8.48,2068.3,moderately active
291,33.0,6615.0,62.3,7.41,2036.9,Moderate
292,30.0,4088.0,48.9,7.88,2057.6,Lightly Active
293,29.0,11379.0,109.3,8.07,2426.7,HIGHLY ACTIVE
294,43.0,12806.0,111.3,7.81,2770.8,Highly Active
295,39.0,10934.0,90.3,6.31,2426.8,highly active
296,28.0,11812.0,113.4,6.89,2506.0,highly active
297,44.0,6966.0,72.5,5.6,2268.1,Moderate
298,38.0,6091.0,58.5,6.87,2112.2,moderately active
299,43.0,5664.0,60.7,7.55,2189.0,Lightly Active
300,41.0,9932.0,89.2,7.87,2163.6,Moderately Active
301,27.0,8681.0,75.7,7.63,2355.6,moderately active
302,29.0,7768.0,74.8,5.27,2186.3,Moderate
303,42.0,11885.0,113.2,6.58,2592.1,Highly Active
304,41.0,9215.0,89.3,6.47,2361.1,Moderate
305,35.0,5484.0,59.8,5.76,2247.5,light activity
306,36.0,5957.0,53.6,6.28,1859.1,Lightly Active
307,48.0,10046.0,106.4,7.2,2671.2,Highly Active
308,29.0,11125.0,100.0,8.76,2585.3,highly active
309,40.0,9655.0,89.5,6.15,2410.8,Moderately Active
310,33.0,13691.0,113.5,5.96,2498.2,Highly Active
311,33.0,12905.0,116.0,6.54,2444.0,highly active
312,46.0,9323.0,92.0,7.57,2320.0,Moderate
313,43.0,5484.0,61.8,8.55,2170.2,Lightly Active
314,43.0,4070.0,56.4,7.1,2008.1,Lightly Active
315,48.0,6838.0,71.1,5.61,2261.7,Moderately Active
316,35.0,10260.0,97.7,5.84,2276.9,highly active
317,42.0,13480.0,118.8,7.41,2687.0,HIGHLY ACTIVE
318,32.0,,81.8,8.29,2475.0,LIGHT
319,38.0,11506.0,113.6,9.2,2746.6,HIGHLY ACTIVE
320,34.0,7264.0,78.1,5.9,2089.0,Moderate
321,36.0,9868.0,83.6,7.35,2336.3,Moderately Active
322,41.0,10470.0,103.0,6.07,2442.4,Highly Active
323,27.0,2061.0,32.4,6.21,1747.1,light activity
324,56.0,6760.0,57.4,6.12,2242.8,Moderate
325,25.0,10849.0,104.7,6.83,2851.7,HIGHLY ACTIVE
326,23.0,8823.0,75.1,6.23,2163.9,Moderately Active
327,47.0,4410.0,27.3,9.93,1958.7,Lightly Active
328,43.0,1000.0,17.1,6.69,1748.7,Lightly Active
329,41.0,6903.0,69.6,8.29,2227.0,Moderately Active
330,41.0,7785.0,74.0,6.47,2406.1,moderately active
331,35.0,5348.0,77.5,9.66,2195.5,light activity
332,26.0,8429.0,83.3,7.57,2056.1,moderately active
333,36.0,9519.0,90.5,8.12,2218.0,Moderately Active
334,28.0,10012.0,96.9,6.55,2310.0,HIGHLY ACTIVE
335,45.0,1000.0,14.8,8.27,1614.4,light activity
336,34.0,4057.0,51.2,7.57,1970.8,LIGHT
337,27.0,7086.0,71.9,6.78,2180.9,Moderate
338,32.0,9717.0,93.5,6.01,2192.4,Moderately Active
339,39.0,9468.0,83.9,6.94,2168.6,Moderately Active
340,29.0,9416.0,75.9,6.84,2073.2,Moderate
341,27.0,6850.0,63.1,8.16,1974.0,moderately active
342,37.0,7017.0,70.7,6.94,2317.7,Moderately Active
343,37.0,5815.0,54.9,5.09,2048.8,light activity
344,30.0,10305.0,98.2,7.91,2342.2,highly active
345,30.0,5239.0,51.8,8.62,1812.8,LIGHT
346,37.0,10550.0,101.4,5.37,2358.7,Highly Active
347,21.0,8624.0,74.0,9.19,2357.1,Moderate
348,21.0,7865.0,77.1,8.74,2319.3,Moderate
349,28.0,6030.0,55.1,6.51,2061.5,Moderately Active
350,33.0,3933.0,30.5,5.97,1866.8,Lightly Active
351,38.0,6057.0,59.2,8.36,1896.6,moderately active
352,50.0,7010.0,80.7,5.69,2145.2,Moderately Active
353,44.0,1000.0,6.7,6.46,1738.3,Lightly Active
354,33.0,7408.0,72.7,5.75,2143.1,moderately active
355,35.0,10773.0,106.2,7.21,2704.2,HIGHLY ACTIVE
356,25.0,9702.0,109.2,8.81,2618.2,HIGHLY ACTIVE
357,35.0,6511.0,60.3,7.61,2079.8,Moderately Active
358,32.0,8141.0,72.8,8.32,2225.6,Moderate
359,38.0,6332.0,53.4,6.81,2365.4,Moderately Active
360,27.0,8446.0,89.5,7.31,2439.8,Moderate
361,40.0,12620.0,108.2,5.85,2609.3,HIGHLY ACTIVE
362,50.0,10905.0,97.9,7.09,2504.7,HIGHLY ACTIVE
363,34.0,9562.0,74.9,6.38,2347.8,Moderately Active
364,39.0,6521.0,71.4,7.02,2177.1,Moderate
365,42.0,10250.0,104.7,6.95,2351.4,Highly Active
366,31.0,2939.0,41.3,6.85,1849.0,light activity
367,37.0,7243.0,57.5,9.52,1983.7,moderately active
368,35.0,9751.0,96.1,9.14,2510.2,Moderately Active
369,36.0,10221.0,81.8,8.76,2371.2,Highly Active
370,27.0,10010.0,93.9,9.17,2519.0,HIGHLY ACTIVE
371,35.0,8884.0,85.7,8.76,2189.6,moderately active
372,40.0,11119.5,74.3,7.18,2401.2,highly active
373,50.0,9614.0,94.4,7.06,2565.9,moderately active
374,45.0,5141.0,52.8,7.46,1853.6,light activity
375,57.0,5466.0,39.9,6.97,1944.7,LIGHT
376,27.0,8185.0,82.5,6.06,2250.6,Moderately Active
377,44.0,8520.0,81.8,7.53,2137.9,Moderate
378,37.0,2523.0,23.8,5.48,1777.6,LIGHT
379,57.0,9365.0,75.5,7.35,2390.4,moderately active
380,27.0,10318.0,108.3,6.11,2441.2,Highly Active
381,27.0,7768.0,84.6,7.11,2082.4,Moderately Active
382,29.0,15123.0,141.7,7.41,2940.0,HIGHLY ACTIVE
383,18.0,5951.0,54.2,6.81,1989.5,LIGHT
384,30.0,6917.0,47.5,5.4,2018.9,Moderately Active
385,27.0,6815.0,72.9,5.89,2400.1,Moderately Active
386,37.0,7771.0,77.7,7.7,2308.1,Moderately Active
387,38.0,7014.0,65.5,6.59,2080.3,Moderately Active
388,54.0,3780.0,50.5,7.82,1829.4,LIGHT
389,45.0,6360.0,69.8,7.21,2281.3,Moderate
390,29.0,7707.0,75.6,6.98,2357.0,Moderately Active
391,26.0,11686.0,107.7,7.58,2495.7,HIGHLY ACTIVE
392,40.0,14607.0,132.1,6.46,2634.7,Highly Active
393,22.0,12006.0,115.5,7.64,2648.5,highly active
394,53.0,5674.0,50.4,6.74,2128.3,light activity
395,47.0,5913.0,62.7,9.99,2072.1,LIGHT
396,30.0,7522.0,65.3,5.95,2067.4,Moderate
397,18.0,13354.0,132.0,6.81,,Highly Active
398,49.0,7504.0,76.8,6.85,2300.2,Moderately Active
399,34.0,4017.0,38.0,5.71,1874.2,Lightly Active
400,47.0,6496.0,64.8,8.0,2182.9,Moderately Active
401,19.0,10271.0,88.8,6.73,2460.6,HIGHLY ACTIVE
402,29.0,10070.0,105.9,4.58,2614.4,HIGHLY ACTIVE
403,35.0,7399.0,84.6,7.96,2221.1,Moderately Active
404,35.0,10050.0,99.3,6.5,2312.8,HIGHLY ACTIVE
405,30.0,1180.0,32.3,7.08,1774.2,light activity
406,41.0,8311.0,80.5,7.94,2498.4,moderately active
407,24.0,10582.0,104.3,6.8,2281.8,highly active
408,34.0,5501.0,65.6,6.79,1832.6,Lightly Active
409,36.0,5491.0,55.7,9.91,2057.0,LIGHT
410,40.0,2401.0,30.6,4.83,1784.8,Lightly Active
411,42.0,12770.0,123.9,5.79,2645.2,Highly Active
412,24.0,5840.0,63.8,6.0,2088.6,Lightly Active
413,20.0,8723.0,76.6,9.17,2419.8,Moderately Active
414,48.0,9812.0,74.3,6.49,2333.5,Moderately Active
415,38.0,12536.0,113.1,7.46,2714.7,Highly Active
416,28.0,7538.0,56.0,6.68,1866.1,Moderate
417,51.0,6382.0,55.3,7.86,2044.7,Moderate
418,36.0,8519.0,74.0,7.19,2181.5,Moderately Active
419,47.0,11852.0,104.2,7.48,2276.1,Highly Active
420,36.0,7489.0,79.0,8.62,2265.3,moderately active
421,56.0,5135.0,61.1,7.68,2063.4,LIGHT
422,53.0,3378.0,42.2,6.39,1864.8,LIGHT
423,33.0,4336.0,51.2,7.54,1984.8,LIGHT
424,45.0,10593.0,103.5,9.86,2503.2,highly active
425,41.0,7038.0,48.7,7.82,2233.0,moderately active
426,49.0,6177.0,61.6,7.37,2201.3,Moderately Active
427,25.0,5852.0,44.4,5.69,2080.4,LIGHT
428,42.0,8255.0,82.9,8.0,2579.8,Moderate
429,46.0,7282.0,53.9,8.16,2058.4,Moderately Active
430,18.0,7181.0,68.4,7.54,2033.5,Moderate
431,23.0,12048.0,114.8,7.33,2742.2,Highly Active
432,18.0,12614.0,106.2,10.0,2816.4,HIGHLY ACTIVE
433,32.0,3170.0,44.1,8.14,1842.9,LIGHT
434,42.0,8983.0,88.9,8.56,2525.2,Moderately Active
435,50.0,5669.0,60.3,7.27,2032.3,light activity
436,36.0,7255.0,76.0,7.06,2300.8,Moderately Active
437,51.0,8928.0,81.5,7.9,2404.7,moderately active
438,21.0,7362.0,72.6,,2145.8,Moderate
439,18.0,8691.0,82.5,7.14,2542.8,Moderately Active
440,34.0,10019.0,93.4,7.71,2659.8,highly active
441,39.0,8884.0,78.7,6.64,2191.8,Moderate
442,35.0,6059.0,50.6,7.44,2099.0,Moderately Active
443,18.0,6112.0,58.2,7.29,2217.8,Moderately Active
444,34.0,3681.0,37.5,8.26,1689.9,light activity
445,22.0,5438.0,49.4,6.53,2045.6,light activity
446,42.0,13886.0,132.5,5.0,2556.6,highly active
447,39.0,5624.0,47.5,6.86,2123.1,Lightly Active
448,26.0,4420.0,45.5,7.64,1991.1,LIGHT
449,30.0,8960.0,94.0,8.26,2334.3,moderately active
450,24.0,7669.0,81.2,6.44,2081.8,Moderately Active
451,34.0,7413.0,81.5,7.8,2187.8,Moderate
452,45.0,12227.0,107.2,8.45,2641.2,HIGHLY ACTIVE
453,25.0,9647.0,96.7,8.03,2415.9,moderately active
454,40.0,6410.0,54.9,6.33,2251.2,Moderately Active
455,30.0,6727.0,63.8,6.45,2293.4,moderately active
456,27.0,6492.0,62.6,7.68,2273.0,moderately active
457,34.0,10624.0,93.9,,2389.3,Highly Active
458,25.0,7076.0,66.1,7.22,2218.1,moderately active
459,29.0,2621.0,27.9,7.02,1713.7,LIGHT
460,23.0,7855.0,67.6,5.69,2072.7,Moderately Active
461,55.0,3389.0,45.1,6.8,2074.7,LIGHT
